marca,modelo,marca_processador,nome_processador,geração_processador,ram_gb,tipo_ram,ssd,hdd,sistema_operacional,arquitetura_sistema,placa_grafica_gb,peso,tamanho_tela,garantia,tela_touch,microsoft_office,preco_atual,preco_antigo,desconto,classificacao,avaliacoes,comentarios,preco_atual_real,preco_antigo_real
HP,HP,AMD,Ryzen 5,Missing,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,4,Casual,15.6,1,No,No,59990,76020,21,4.4,1978,188,3539.41,4485.179999999999
Lenovo,Legion,AMD,Ryzen 5,Missing,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,4,Casual,15.6,0,No,No,69990,107690,35,4.3,9,0,4129.41,6353.71
HP,15-ec1105AX,AMD,Ryzen 5,Missing,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,4,Casual,15.6,1,No,No,58990,70172,15,4.5,1049,134,3480.41,4140.148
DELL,Vostro,AMD,Ryzen 5,Missing,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,14,1,No,No,59490,61060,2,4.6,74,18,3509.91,3602.54
HP,Pavilion,AMD,Ryzen 5,Missing,16 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,Yes,67500,75049,10,4.4,196,19,3982.5,4427.891
HP,Ryzen,AMD,Ryzen 5,Missing,8 GB GB,DDR4,512 GB,0 GB,Windows,32-bit,0,Casual,15.6,0,No,No,48990,60959,19,4.6,17,1,2890.41,3596.5809999999997
ASUS,VivoBook,AMD,Ryzen 5,Missing,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,14,1,Yes,Yes,62450,74990,16,4.4,172,36,3684.5499999999997,4424.41
ASUS,VivoBook,AMD,Ryzen 5,Missing,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,14,1,No,No,58990,73990,20,4.4,324,34,3480.41,4365.41
ASUS,APU,AMD,Quad,10th,4 GB GB,DDR4,0 GB,512 GB,DOS,32-bit,0,Casual,Missing,0,No,No,19990,23390,14,4.0,2887,476,1179.4099999999999,1380.01
HP,Pavilion,AMD,Ryzen 5,Missing,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,Yes,57999,70419,17,4.5,86,15,3421.941,4154.721
ASUS,VivoBook,AMD,Ryzen 5,Missing,16 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,15.6,0,No,No,56990,80990,29,4.8,4,1,3362.41,4778.41
HP,Pavilion,AMD,Ryzen 5,Missing,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,4,Casual,15.6,1,No,Yes,72990,87717,16,4.7,16,4,4306.41,5175.303
HP,Pavilion,AMD,Ryzen 5,Missing,16 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,13.3,1,No,Yes,65990,89992,26,4.4,104,18,3893.41,5309.527999999999
HP,Envy,AMD,Ryzen 5,Missing,16 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,13.3,1,Yes,Yes,98020,0,0,0.0,0,0,5783.179999999999,0.0
HP,Pavilion,AMD,Ryzen 5,Missing,16 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,2,Casual,14,1,No,Yes,63990,74839,14,4.2,90,13,3775.41,4415.501
ASUS,Ryzen,AMD,Ryzen 5,Missing,8 GB GB,DDR4,512 GB,0 GB,Windows,32-bit,0,ThinNlight,15.6,1,No,Yes,49890,69990,28,4.7,6,1,2943.5099999999998,4129.41
DELL,Inspiron,AMD,Ryzen 5,Missing,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,Yes,49990,66161,24,4.4,47,7,2949.41,3903.499
DELL,Vostro,AMD,Ryzen 5,Missing,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,14,1,No,Yes,59490,65566,9,0.0,0,0,3509.91,3868.394
HP,Envy,AMD,Ryzen 5,Missing,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,13.3,1,Yes,Yes,73999,88840,16,4.6,206,27,4365.941,5241.5599999999995
DELL,Inspiron,AMD,Ryzen 5,Missing,4 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,60990,67861,10,4.4,183,42,3598.41,4003.799
DELL,G5,AMD,Ryzen 5,Missing,4 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,6,Casual,Missing,0,No,No,76190,80996,5,4.4,358,64,4495.21,4778.764
Lenovo,Yoga,AMD,Ryzen 5,Missing,4 GB GB,LPDDR4X,512 GB,0 GB,Windows,64-bit,0,ThinNlight,16,3,Yes,Yes,74798,104890,28,0.0,0,0,4413.081999999999,6188.509999999999
ASUS,VivoBook,AMD,Ryzen 5,Missing,4 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,Missing,1,No,No,58990,73990,20,4.3,88,13,3480.41,4365.41
HP,Ryzen,AMD,Ryzen 5,Missing,4 GB GB,DDR4,512 GB,0 GB,Windows,32-bit,4,Casual,Missing,0,No,No,68100,78900,13,0.0,0,0,4017.8999999999996,4655.099999999999
Lenovo,Yoga,AMD,Ryzen 5,Missing,4 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,16,1,Yes,Yes,77990,104890,25,0.0,0,0,4601.41,6188.509999999999
HP,Pavilion,AMD,Ryzen 5,Missing,4 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,55090,67931,18,4.4,364,52,3250.31,4007.9289999999996
